text1	text2	label
assessment of the major policy issues unequivocally , a new comprehensive regulation would introduce consistency and clarity throughout the eu feed sector .	we 'll need 20 light red keys and 20 perfect radios .	0
she do n't say .	especially at a restaurant .	0
you are , after all , the father of our child .	you 're the father of our baby .	1
the middle east is in a state of emergency . oh my god .	the middle east is reporting an emergency .	1
take us to the perimeter and you point the rest of the way .	all yours ?	0
i also did a little checking on debbie myer .	why , because you were the person ?	0
zahl was his street connect .	what 's wrong with him ?	0
i made a demo just for pax .	i 'm driving as fast as i can .	0
you 're not satisfied that i 'm suffering for what you 've done to this town .	i think about him .	0
he had killed one man , gunnlaugr thorrfinnsson , puncturing his kidney from behind while the viking was thrusting at von richthofen .	after alvin 's left , another man sat down , tall and slim .	0
said it was fiberglass -- the type used in auto body repair , as well as boats .	the species used to repair cars , as well as ships .	1
guess we found a new nickname for kendrick .	you 'll wish you 'd have listened to me when i said there was a mistake to let go of the goa'uld .	0
and you can go back to teaching .	1967 / 68 cup winners ' cup	0
invalid filename	he was also missing all , especially katie .	0
it hopes that parliament will be able to accept it .	he believes that parliament will be able to accept this solution .	1
as long as you can get that junkie doctor to cooperate .	did you have a piano lesson ?	0
he was listening intently to every intonation in clemenza ’ s voice .	still , i brought out my primitive bronze sword and looked around in an undercut .	0
listen , if you wan na marry whit , that 's fine , ok ?	listen , if you want to take whita , okay ?	1
shields up . move us away .	lincoln was right .	0
i like having my ass kissed . i know .	are you fran ?	0
bring in a forensics team now .	she caught a glimpse of them , but she heard plenty .	0
i can do better . just give me a chance .	do you want to dance ?	0
did you touch anything ?	did you catch anything ?	1
you 've probably got a gallon of apple juice in there , buddy .	you have an apple juice canister in you , my friend .	1
they could not agree with blaming the caliph for any mistakes .	they could not agree that the calif should bear the blame for any mistakes .	1
do you see ?	do you understand me ?	1
what happened ? - she 's there .	come on .	0
or ? i do n't know .	is it going ?	0
no one could answer her .	no one answered .	1
to separate us and them .	it separates us from them .	1
the entry ‘ akhund , attiqullah , maulavi ( deputy minister of agriculture ) ’ under the heading ‘ natural persons ’ shall be replaced by :	he was wearing a blue hoodie and with the words `` giants '' on the front .	0
it envisages that real gdp will grow by 2 % per year over the programme period .	we 'll fix your tooth .	0
and you cried during it .	and you were crying .	1
yeah , i just need a little bit more time .	i just need some time .	1
cameron ! - just go home .	get down and get it down there .	0
none moved , not he nor the startled peasants , and morgaine arose , a distraught look on her face .	no one moved , neither he nor he , nor the surprise of the country , and morgaine stood up , an expression on her face .	1
you going to collect a little sample of bynie 's blood for your slide collection ?	biney 's sample gets into your rare collection ?	1
were you bitten by a mosquito ?	did the mosquitoes bite you ?	1
it was not the knife that frightened him , nor even the prospect of death .	would they allow women to come to the houses ?	0
i 've tried replicating the science .	i 've tried it scientifically .	1
mmm , something smells good .	your wife .	0
perhaps there 's something better for me to criticize ?	do n't you have something better to criticize me for ?	1
you have to admit this is working for us .	you have to admit it works .	1
that 's 20,000 hard-core members . forty thousand , counting affiliates , and 20,000 more , not organized but ready to fight .	| manufacture of industrial feed	0
`` should i try to find it , then ? ''	`` shall i find him then ? ''	1
why won ’ t you touch me temujin ?	why do n't you touch me , temudgin ?	1
go to the next bookmark or shortcut in the file	friend , you are ... the man i care about most in my life .	0
no , all over now .	no , now it 's all gone .	1
maybe we could stay in and - ow ! -you know , get a pizza or rent a movie ?	maybe we can stay at home and uh ... order pizza or ... borrow a movie .	1
haleh , hold the basin under his chin . just relax .	that 's what i wanted .	0
okay , so that was horrific , but it 's over .	that was scary , but it 's over .	1
.sometimes you amaze me , talen , ' dolmant said .	as far as i recall , they do n't call them ten recommendations .	0
complete the mission !	i 'll call you in the morning . tell me how you feel .	0
papa gets more pleasure out of helping his family than all the possessions he owns .	besides , i hope to have atrophy on my feet , so i wo n't be tempted to use them .	0
like , where did old man nutjob go ?	and it would take a long time to calculate them .	0
i 'm stopping you from killing innocent people	we are preventing you from killing innocent people .	1
and when he 'd finished in me ,	and when he came into me ...	1
as i interpreted clan law , that made you clan responsibility .	depending on how i interpret the clan 's laws , that means that the clan is responsible for you .	1
well , by my calculations , no .	not according to my calculations .	1
i 'm thinking damaged goods .	i 'm more of a damaged goods .	1
so i wan na say to you right now ... ... have a great show .	look , other people have a different style of upbringing .	0
these are the guys he 's targeted .	those are the people who are his target .	1
uh -- it 's just a scratch .	same as louis .	0
buckman had been constantly in his laboratory or the adjacent lounge for over thirty hours .	did they hit us ?	0
even were he sleeping , i could sense his presence were he in that camp .	or better yet , send me a message .	0
he 'll only work if i pay once a year on the first day of autumn .	uh , the results of andu 's blood came .	0
may i go to her ?	can i see her ?	1
do you love her ? - mm-hmm .	small , red ... and it tastes like burnt onions .	0
the commission based its tac proposals on this new approach in 2011 .	you ca n't do that ! ``	0
why do n't you go get back into bed ?	are n't you going to go back to bed ?	1
he had seen it all before .	i live in pentonville .	0
`` they wo n't talk .	`` they wo n't tell them anything .	1
okay , i want everyone from the subway and from that market killing ... - ... i want them all brought in again .	this is a surveillance video from the security camera three hours ago .	0
i mean , you go into burning buildings ... ... when everyone else is running out .	especially angry , sensitive , highly experienced , and worst of all - promising .	0
they 're always looking for some new bullshit companies to add to the house of cards .	and if you do n't , that means you do n't want to break it for some reason .	0
that 's what our little dance at the construction site was all about .	they 're firing you .	0
it was like she was laura again .	it 's like it 's the same laura again .	1
not to pluck every flower you see .	i 'm here .	0
( lopinavir/ritonavir capsule 400/100 mg bid )	robyn goes back to work , and chef ramsay turns his attention to tiffany 's fish .	0
the guard was young , resting his vambraced forearms on the cross blades of his pike .	the guard was young , and his forearms were resting on a rung on his beeper .	1
well ... divorced with a shit job ata lumber yard after being rejected from the cromwell police force .	well ... divorced from a shit shop at the mill , after you 've been rejected by cromwell 's police force .	1
teg 's doubled vision made him confident that no unwanted eyes saw his arrival .	i was 16 , and i was in a baseball trench .	0
i got everything ready out back .	i got everything ready .	1
brother , what 's this about ? .	big brother , what happened ?	1
[ 6 ] eurocontrol ‘ challenges of growth 2008 ’ and ‘ long-term forecast flight movements 2010-2030 ’ .	[ 6 ] eurocontrol `` growth challenges 2008 '' and `` long forecast for years for 2010-2030 . ''	1
it 's all natural laundry stuff .	maybe if you could , you know , get us into a diary .	0
to pilot eva .	pilot evangelion .	1
a lifetime .	all my life .	1
breaking up with you because peter was still in your life , that was a mistake .	would that be ? ``	0
maybe i should go over there .	bond stepped out of the car and stood by the riverfront wall , wary of the trunks of the platters .	0
you 're out of your mind .	you must be completely out of your mind .	1
do you want to count it ?	it 's nice being with a man who can express himself well .	0
since the applicant has been unsuccessful , he must , having regard to the form of order sought by the cpvo , be ordered to pay the costs .	i tried to sign up for a new gym .	0
after we get you out , we can talk in more detail .	when we get you out , we 'll talk about the details .	1
very well . if you must .	this database was created in the previous version of the microsoft ® office outlook ® 2003 and business contact manager .	0
that 's survivor 's guilt .	can i do this with you at night ?	0
it was like a flash .	it was like lightning .	1
there are grass stains on her pants .	is that what brought you west ? '	0
gemma was seen here at the beginning of the reception , and then- poof .	you think it 's funny ?	0
white powder rained down from the ceiling ; one comer of the polymer window popped loose from its frame , and curled up like a dead leaf .	does speltzer release only a little bit of steam , or is it part of his ritual before he kills himself ?	0
he 's smart , escapes arrest this way .	he 's smart enough to avoid arrest like that .	1
thus we have come to the conclusion that the rest is up to you .	so we conclude that it 's up to you .	1
`` he just leaped overboard ; i was watching him when you came in .	the shape itself seemed to be lost under the strength of a line and color .	0
it has to be a cop hater , steve .	he was like roberto duran .	0
yeah , me and mrs. french are gon na do a little perambulating .	yeah , me and mrs. french want to rap .	1
gruer 's smile was grim and his eyes shifted to daneel again , and then away .	are you spending your money on the ladies ?	0
32 accordingly , the commission ’ s objection that the united kingdom ’ s application to intervene is inadmissible must be rejected .	`` how can you absorb her power then ?	0
times are changing :	times change .	1
just because of that do you think i 'm going to call you mom .	but do n't think i 'm gon na call you mom .	1
do n't fucking touch me ,	v - analysis a - preliminary observations 67 .	0
`` then she was n't walking on the path that goes around the lake ? ''	the rich and influential suddenly discovered the power of an internship. ``	0
this difference between this aaa corporate debt and the treasury , that is the yield spread .	this difference between aaa corporate debt and treasury bills is a yield variance .	1
what ? and i look like two sticks you can rub together ?	and i look like two sixes you can rub on yourself ?	1
we need to get you outta here right away .	we have to get you out of here now .	1
so much for gently .	and if i wanted to draw a line with an average bow , it would look something like this .	0
do not confuse love with art . ”	what could be more distasteful than rummaging through a stranger 's socks ?	0
you know , more and more , i 'm getting used to you .	you know , i 'm getting used to you .	1
`` i believe no one feels the loss of friends so much as i do .	yeah , i want to see that .	0
superscript - ^ { }	upper index - ^ { }	1
arthur	arthur .	1
you see how they think highly of me , of my rubles .	things were different then , molly ...	0
then they 'll be gone . - did you do this to him ?	no , he said it was two triangles , forming a diamond .	0
i 'm having a really bad day , dan , and that guy caught me at the worst possible moment .	you have a chance that your husband will come to see you one day , and your husband will come .	0
gently , tegan .	careful , tegan .	1
enjoy the memory of the lazy hangrruln ... and relish the anticipation of what 's coming up soon .	the bird .	0
the burmese have been stonewalling since chris ' arrest .	burma was in this direction from chris 's arrest .	1
the ripples disturb the heart .	the waves disturb the heart .	1
it isonly now i can let it go .	i guess i can just let it go .	1
he got lost in the pitch blackness .	he got lost in the black dark .	1
the fate of capustan lay with those defenders , now .	the fate of capustan has now depended on these defenders .	1
get her out of here. `` can i go , daddy ?	lebron left it alone , ted . you should too .	0
only she wanted to humble herself to him , to kneel before him .	she wanted to be humiliated , kneel before him .	1
when you hit it , it 's gon na really hurt , so be ready for that .	when we hit it , it 's gon na hurt a lot , get ready .	1
if someone refuses to talk to us ... we know he has something to hide .	federal bureau of ... ``	0
very naughty , you hear me ?	you 're very naughty , you know ?	1
thought you were going to meditate .	so the soothing beam is a ray for fury .	0
pardon me while i have a heart attack .	now , if you 'll excuse me , i 'm gon na have a heart attack .	1
and one day she called me up ... and she said she was leavi n't .	and one day she called me and said she was leaving t. ray .	1
canker and vasagi the suck , situated that much closer , climbed the stack 's internal staircases of hewn stone and grafted cartilage .	do you know your last name ?	0
no , but you look like you 're going to , so get it out .	the military has launched a large-scale effort to help the disabled .	0
lots and lots , we hope .	but we hope there will be plenty more .	1
no , meg .	no .	1
johnny , the machine worked !	the whole situation where dr. brennan is running away and fighting crime ...	0
he thinks he 'll sink me if i submerge , and blow out the flight controls if i take off .	but what if -- - no !	0
i know . that 's what i think , too .	i know .	1
best beer , best blues , some of the best beer bums in town .	fuck off !	0
let us say : it is not of this world .	let 's say it this way : he 's not out of this world .	1
what kids ? i do n't know what you 're talking about .	i do n't know what you 're talking about .	1
i do n't want to hear anything more about finances , mergers or currency transactions .	i do n't want to hear any more of any financial mergers or currency transfers .	1
although he could also be telling the truth , and that 's why his department 's struggling .	but he could also be telling the truth , and this could be a reason for the problems .	1
instead , she gave marissa her husband 's secretary 's phone number , saying again that judith would know that kind of thing .	rose .	0
let 's see where you be twenty years from now .	let 's see what you 've got in twenty years .	1
we 've got some movement going now .	we have a little movement .	1
he waited a second or two and then , very cautiously , turned his head .	he waited two seconds and then turned his head slowly .	1
the other werewolves , sensing what was going to happen , looked away .	the other werewolves , who sensed what was coming , turned away .	1
`` after all our puzzlings about that , is hanny getting a definite answer ? ''	i almost forgot .	0
i felt he should have loved me more because i did it .	either way , you end up in jail or in jail , and what will happen to us ?	0
well , how 's the bullet hole healing ?	there 's no escape from here .	0
psurs the mah will continue to submit yearly psurs , unless otherwise specified by the chmp .	psur the mah shall continue the submission of annual updates of the psur unless otherwise specified by the committee for medicinal products for human use .	1
( b ) the address to which they must be sent .	caramon remembered tas 's words again .	0
i do n't see any ashtrays .	i do n't see any ashtray .	1
recommended resolution of the preview contained in the ppf file :	but prison in leavenworth , yes , or an acquittal of a prison sentence if it is to be ruled by a court of martial law .	0
five years they waited for a fortune to satisfy her family .	for five years they waited for the wealth and permission of her family .	1
he said it 's the kimber boys .	he says it 's the kimberley boys .	1
his hands moved very gently .	hey , stop pushing me !	0
she breathed deeply and looked around , as if there might be an escape route to another world nearby .	she took a deep breath and looked around as if hoping he might find a way to the rescue , perhaps a way to another world .	1
there is a boat at the bottom , just down the river .	if you win , i 'll let the whole thing go .	0
well , he said that you were kind of agitated both times you pulled up in your porsche .	i 'd like to look at them .	0
phil : teams must make their way to the tiwari tea skull where they 'll receive their next clue .	the teams now have to go to the area of jorasanko and find the tea room tiwari , where they get their next clue .	1
i 'm just grabbing some clothes , and then i 'll be right over .	please !	0
who 's the greatest champion in shutka ?	so we had a serious talk about the rules , and it got a little heated , you know how it is .	0
dylan , call 9-1 -1 .	dylan , call 9-1-1 .	1
danny ... danyal ...	danyal ...	1
ohim itself confirmed the relevance , in the context of the examination envisaged by article 7 ( 1 ) of regulation no 40/94 , of its previous decisions .	ohim itself , under the review provided for in article 7 ( 1 ) of regulation no 40 / 94 , confirmed the relevance of its earlier decisions .	1
seems dan humphrey 's on the fast track from lonely boy to only boy .	i thought madonna would be .	0
my name is dr. curtis connors .	i 'm dr. curtis connors .	1
just because he 's a vampire does n't mean he 's a murderer .	being a vampire does n't necessarily mean he 's a murderer .	1
we ca n't confirm at this time how many gunmen .	we ca n't confirm the number of armed men .	1
but , of course , he had not escaped .	see also : http : / / europa.eu.int / comm / environment / co2 / co2 _ home.htm [ 22 ] com ( 2005 ) 683 final .	0
now maybe just a few of these are in someone else 's name .	they 'll be free , george .	0
it was inappropriate . thank you .	duke , punch the bottles .	0
how 's it going ?	you only want to know ... why me ?	0
what the frick is happening ?	well , randy , i 'm impressed .	0
oh , you guys , you guys , if we want to stand out , you know what we got to do ?	you romuni must know something about this .	0
self-administration of this medicinal product should only be performed by patients who are well-motivated , adequately trained and with access to expert advice .	self-administration of this medicine can only be performed by patients who are properly motivated , adequately trained , and have access to professional assistance when needed .	1
you might want to step back a little bit .	`` are you sure ? ''	0
steven honell had been unable to tell him where the harrisons lived , and a quick check of the telephone book turned up no listed number for them .	that 's a nice name .	0
you once laid siege to it for 600 days , but it would not yield to you . ah !	but it did n't even match me .	0
evil can be detected by its smell , paul thought .	all right , i know why .	0
yes it is , you fucking slut .	yeah , it is , you dumb bitch .	1
all right , i 'm coming , miss alfalina .	i 'm on my way , miss alfalina .	1
and have a good rest of your -- -all right . okay , kids .	and enjoy the left -- - okay , okay , kids .	1
i never thought axel would settle down .	i would n't believe axel 's going to settle .	1
yeah , i used to have to sneak out and take the 9 train up to the south bronx to see stuff like this .	it must be the enemy of the police , steve .	0
you 're not possessed , jane .	tasty , or not ?	0
please help me !	in the middle of the breeze rose sawark 's keep , a six-storey tower of limestone blocks , three stories tall .	0
well , you have to be like the hippo .	we had a problem at the hospital .	0
so , how are you and your wife handling all of this ?	so how do you handle this woman ?	1
everybody 's talking about it , then forgetting what they 're talking about . ha !	everyone talks about it and then they forget what they were talking about !	1
do you have any of your needles with you ?	do you have any of your shots ?	1
there 's a lot more to tell , ... ... but there 'll be plenty of time later .	you have bigger than the amount of ammunition allowed .	0
it 's a long way from feeling like that and actually committing murder , do n't you think ?	krager called out the rest of the wine .	0
all right if i call you junior ?	you need help with your god and your stupid ideas about me .	0
he got his driver , and they started driving .	i know you 're not like that .	0
they said it was just the beginning .	that 's possible , joe bob .	0
jesus !	wait , brick would n't fake an arm injury , i 'm sure he wo n't .	0
okay , today you 're gon na have a lot of surprises .	there 's a dozen .	0
i was really angry at you for the first century or so .	for the first 100 years , i 've been really angry with you .	1
oh no , i have n't had a cigarette since i was a teenager .	may i have another suggestion ?	0
i spent two days stumbling around this fucked-up place so that i can say ...	i 've spent two days cramping around here in this fucking spot , just to be able to say ...	1
she 's touching my stuff .	she 's taking my stuff .	1
do n't you remember we were together at the office party ?	close the ryb to jail .	0
the same way you ride the streets on that great bay horse of yours that too many know-it 's death you court , strat .	what a beautiful creature .	0
you know , a couple more minutes of that stuff , and you 'd be a human doorstop .	one more second and you 'd be a human doorstop .	1
maybe a five-minute walk from church street to `` scum street '' .	maybe five minutes from church street to called street .	1
wonsan harbour 's just over the ridge .	nationality : libyan. ``	0
it 's not my job .	it 's not my thing .	1
simmons ...	simmons .	1
and the paradise misses him .	and he 's missing paradiso .	1
when i cure them , the snakes vanish . ''	when i cure them , the snakes will disappear. ``	1
i ca n't possibly accept it .	i shut it down so no one would come .	0
youdo n't get anything until you pay .	that magic not only saved your life , but you also got the lives of everyone who died .	0
don ’ t make this personal .	i wear gloves .	0
shit , you might as well just let blind george cut it up .	oh , shit , you could have had that cut by a blind man , george .	1
come in a few times now .	he was here a few times .	1
you call me at home for this ?	you have an obvious need to exercise your power over your surroundings , and you have access to medical equipment needed to carry out your plan .	0
across bosnia , nearly 6,000 people have been killed to date .	vinnie really wanted this movie , and i could n't stop him .	0
yeah , it 's pretty tastefully done , huh ?	unfortunately , miss wright .	0
honestly , the connection that i have with you , it 's amazing ,	honestly , the relationship i have with you is amazing .	1
why did it act up just now ?	why did this happen right now ?	1
yeah , like you were gon na be donna karan .	you could be donna karan .	1
maestro , can i try ?	master , can i give it a shot ?	1
then why did your mother call me to recommend a good prenatal vitamin ?	then why did your mom call me to give me good vitamins for pregnant ?	1
`` mr. w.t . comptonand family . ''	of course , this immediately consented to another thought .	0
scare the crap out of me .	there was a big shooting today .	0
every murder suspect in this town is given a choice : confess or face death , against the d.a . who never loses .	anyone suspected of murder is there to choose , to confess , or face death ... ... against a district attorney who never loses .	1
stop fidgeting !	stop squirming .	1
eleanor said , ‘ i think i made at least one of the bodyguards as carrying .	eleanor said : `` i think i saw that at least one of the personal guards was carrying something .	1
yoo-hoo ? is she in there ?	is he at home ?	1
but i remember clearly ... that it was a glaringly sunny day	but i vividly remember it was a clean day .	1
midway through their trip , after more than 1,000 hours amongst the penguins , their grip on reality is beginning to loosen .	52 the method of processing or use of a substance is not crucial to its classification as waste , or not .	0
i guess he could n't trust you , either .	you need real reality .	0
no , come on , you do n't wan na with me .	come on , you do n't want to dance with me .	1
you do n't get bought off to return to a job that you never liked .	you do n't have to sell yourself to get back to this job that you 've never really liked .	1
his right hand , open , slapped luke hard on the side of the head .	that 's the planning of the city .	0
direct go card recharging in komerční banka atms	you cut three words into a sentence !	0
what comes next ? ~	what 's next ?	1
for your information , the supreme court has roundly rejected prior restraint !	threadingmodel has been changed	0
yeah , but he looks like my old man	blue uniforms are for white soldiers only .	0
we gave him the cash flow , he linked up with wratten , did n't tell him about us , and away they went .	print all my names .	0
caroline , get mr. cassidy for me .	come and have a look .	0
she did n't make the smallest attempt to soften the blow or hide the affair in any way .	thank god you 're here .	0
the substance came from a cow .	since you moved in , there 's nothing but trouble .	0
if he starts up toward the mine , i can stall him .	can i call you junior ?	0
if you 're brought in covered in rubble , it 's all about the mri 's .	philippo , jump in the door and find out what he is .	0
harry called last night .	article 11 urgency unit 1 .	0
he had never before made an acquisition of such value , and he was grateful to all the powers of hell for giving her to him .	the only one i have after my biological mother , and i ca n't leave him there .	0
is this the first time the taxpayers pay for a blow job ?	i had a good day .	0
mmm ! now skating heir mamma mia ! fantasy stan and francine smith	and now they 're leading the fantasy to `` mama mia '' stan and francine smith .	1
i 've had a great deal of luck .	i was really lucky .	1
yeah , you did .	yeah , he did .	1
it 's the car that stole last week .	we stole it from a week ago .	1
it is the most logical place for us to stop .	what am i , a psychiatrist ?	0
his lungs have filled with fluid .	`` where do you call from here tonight ? ''	0
oh , i just want you to keep your energy up for tomorrow .	i just want you to have enough energy for tomorrow .	1
yeah , there 'll be plenty of talking .	we 'll definitely talk a lot .	1
is 126 feet tall , and it weighs 1,300 tons .	it weighs 38 metres and weighs 1,300 tonnes .	1
you 're the worst .	yes , i talked to solem .	0
those little nuremberg countruy sausages , the grittuy little ones .	these little nuremberg sausages are pretty greasy .	1
136 in those circumstances , there has been no breach of the applicant ’ s rights of defence .	if we go out there , they 'll hear us , and that would mean everyone inside the building and division will die .	0
she moved her eyes , looking about her .	she looked around with her eyes , looking around .	1
she 's babli	he just needs time , sammy .	0
terrorists have murdered civilians ... ..and cut off the two systems that can allow you to land .	mind if i catch up ?	0
time is money .	and when i stare , more questions come to mind .	0
we were looking at the house .	listen ... i do n't care .	0
that 's maryann 's energy inside of them .	in their souls , maryann 's energy .	1
i 'm staying . i do n't want to add to a public hysteria that 's gon na cost lives .	the waitress brought him an egg , he folded the newspaper and laid it next to him .	0
the secretary of state had no cards to play at all .	the foreign minister had no cards at all .	1
she returned the grin with the slight smile he had never been able to decipher .	his mother gave him a grimace with a slight smile that could never be decrypted .	1
do you know why canadians never get a birthday wish ?	if the film does n't sell , everything we 've done is useless .	0
first , the municipalities of noord-brabant had a monopoly with regard to sales of land made suitable for industrial development .	thank you , i do n't smoke .	0
let 's go , we 're getting out of here .	come on , we 'll get you out of here .	1
i 'm going to catch them !	i 'll catch up !	1
she said before that she did not want any of us to go with her ; now she has made certain that we do not . ''	and then all of a sudden , saturday 's flight landed in front of me .	0
why did he try and kill himself ?	the russians must have thought of that several times .	0
how hell should a man dress ?	and how do men dress like men ?	1
she glanced quickly toward the hills .	she glanced around hurriedly toward the hills .	1
however , for pharmacies not established in germany , the internet provides a more significant way to gain direct access to the german market .	on the contrary , the internet is the most important resource for pharmacies , which are not located in german territory , for direct access to this market .	1
john summers was the cia 's best field agent in the middle east . three nights ago he was found in his home in washington .	we keep fallen warriors .	0
`` is n't this one of those banned-in-boston books ? '' he said .	as sigmund freud said , dreams are the main route to knowledge of the soul .	0
i miss her so .	i see you 've lived here before , but in the wrong room .	0
“ your own machines are recording everything , ” augustine said , pointing at the console .	`` why should you fight for us ? ''	0
so , any other favourite movies ?	so , other favorite films ?	1
i 'm really glad you had a good time , brother , 'cause you know we got 20,000 fans that certainly did n't .	i 'm glad you had a good time , bro , just because we have 20 thousand fans who have n't had much fun .	1
life is not worth living unless you find someone to share it with .	you 've never been in contact with him ?	0
“ number six is due the end of february , ” tyler said proudly .	`` number six arrives at the end of february , '' tyler said proudly .	1
first , check to make sure that the phone cable for your computer is correctly plugged in at each end .	no , i 'll be here .	0
`` how‑can‑i‑help‑you ? ''	lie still , do n't move .	0
dr. levenson , in your experience , are there any lasting side effects ?	dr. levenson , from your experience , are there any side-effects ?	1
'listen , wolf , how about that scott hamilton tape i got in cheyenne ? '	he 'll try to stop you .	0
is it obvious he has a gun ?	would you think he had a gun ?	1
i 've got ta be better .	i have to be a better person .	1
you suddenly trust doctors , love puppies and long walks in the rain .	watch what happens when i throw him out of a moving car .	0
what 's that supposed to be ?	why did the chinese emperor claim the right to rule for reasons of his alleged origin from the serpent god ?	0
you ca n't do cocaine !	you ca n't snort coke .	1
elizabeth is not expecting you now .	elizabeth will not wait for you now	1
okay , uh , well ...	tell them i 'll keep an eye on them .	0
a jagged battle scar cut into his upper lip , giving him a slight , perpetual sneer .	a jagged scar cut into his upper lip , as if he was still grinning slightly .	1
you know what the real fear is ? - what ?	that 's why we got away together and got married .	0
i can't- i ca n't talk .	i ca n't -- i ca n't talk .	1
then i 'll be responsible for sinking one of the destroyers maybe the whole lot of them .	so i take the responsibility that one destroyer will sink , and maybe even all of them .	1
this was a man of business .	elections to knesset	0
`` you are now clear of the ship , '' he said .	sometimes at this time , the teacher admired me as a good student .	0
come on , jack , hurry !	come on , jack .	1
earth monitoring station , hailing all ark survivors .	earth health monitoring stations all surviving from the ark .	1
“ yin-hsi .	oh , no , i thought ...	0
she sent me a text to call her , but i never got back to her .	she sent me a message to call her , but i have n't done it yet .	1
in true form , it could hold you as you now hold it . '	he could hold on to you as you hold him. ``	1
it is chilly , sir .	article 5 :	0
it was made from a bullet i took out of her left buttock .	it 's made of bullets i took out of her butt .	1
pinky will meet someone new and jessie will forget all about this football nonsense .	ê 338 / 97 recital 6 ( adapted )	0
four shootings in fiive years , all accidents ?	`` loosen up !	0
i want you to contain her !	i want you to stop her .	1
that'il be him !	i 'll give the face you vote for .	0
caesar .	you saw an opportunity , so you took advantage of her .	0
no , it was n't all bad .	no , it was n't .	1
can i drop you at your hotel ? - of course .	the greeks and the turks go down their throats again .	0
you love this woman , you will be willing to change .	you know she 's still ...	0
oh . so you 're the one .	so it 's you !	1
touch it . - no .	the police are already there. ``	0
they all fell in . - look at my house !	look at my house .	1
thanks minister , thank you	thank you , ambassador . thank you .	1
i just feel like i keep putting my foot in my mouth every time i talk to you , and ... i just do n't know why .	i feel like i 'm saying something bad , every time i talk to you , and i just do n't know why .	1
what do you do when you run out of ice , call 911 ?	my name is russell bitterman .	0
so , when you coming home ?	when will you be back ?	1
i brought you a surprise ! - forget the surprises , asshole !	it started in eight years .	0
i mean really , is that ?	it 's nice to meet you , miss ( german ) no , no , we speak english .	0
let me worry about the op-orders .	maybe college ?	0
says you seized his camcorder before departing .	he claims you took his video camera before you left .	1
and oh , what a bat it is !	it 's a bat !	1
i 'll tell the cops i did whatever you want .	samaritan , where is he ?	0
once in the studio colleen directed her friend into the small separate room that was affectionately called the “ arena . ”	he could n't do it when he was in stasis .	0
you 're the only thing that i ’ ve got in this world , danny .	the corral was as empty as the cabin .	0
welcome change from your usual odor of skunk .	it 's better than your usual skunk smell .	1
think about what you ’ re doing .	think about what you 're doing .	1
